Name	Type	Microbiome	SRA_accession	Comments
	amplicon	Unknown	ERR5953233	
	amplicon	Unknown	ERR5953234	
	amplicon	Unknown	ERR5953235	
	amplicon	Unknown	ERR5953236	
	amplicon	Unknown	ERR5953237	
	amplicon	Unknown	ERR5953238	
	amplicon	Unknown	ERR5953239	
	amplicon	Unknown	ERR5953240	
	amplicon	Unknown	ERR5953241	
	amplicon	Unknown	ERR5953242	
	amplicon	Unknown	ERR5953243	
	amplicon	Unknown	ERR5953244	
	amplicon	Unknown	ERR5953245	
	amplicon	Unknown	ERR5953246	
	amplicon	Unknown	ERR5953247	
	amplicon	Unknown	ERR5953248	
	amplicon	Unknown	ERR5953249	
	amplicon	Unknown	ERR5953250	
	amplicon	Unknown	ERR5953251	
	amplicon	Unknown	ERR5953252	
	amplicon	Unknown	ERR5953253	
	amplicon	Unknown	ERR5953254	
	amplicon	Unknown	ERR5953255	
	amplicon	Unknown	ERR5953256	
	amplicon	Unknown	ERR5953257	
	amplicon	Unknown	ERR5953258	
	amplicon	Unknown	ERR5953259	
	amplicon	Unknown	ERR5953260	
	amplicon	Unknown	ERR5953261	
	amplicon	Unknown	ERR5953262	
	amplicon	Unknown	ERR5953263	
	amplicon	Unknown	ERR5953264	
	amplicon	Unknown	ERR5953265	
	amplicon	Unknown	ERR5953266	
	amplicon	Unknown	ERR5953267	
	amplicon	Unknown	ERR5953268	
	amplicon	Unknown	ERR5953269	
	amplicon	Unknown	ERR5953270	
	amplicon	Unknown	ERR5953271	
	amplicon	Unknown	ERR5953272	
	amplicon	Unknown	ERR5953273	
	amplicon	Unknown	ERR5953274	
	amplicon	Unknown	ERR5953275	
	amplicon	Unknown	ERR5953276	
	amplicon	Unknown	ERR5953277	
	amplicon	Unknown	ERR5953278	
	amplicon	Unknown	ERR5953279	
	amplicon	Unknown	ERR5953280	
	amplicon	Unknown	ERR5953281	
	amplicon	Unknown	ERR5953282	
	amplicon	Unknown	ERR5953283	
	amplicon	Unknown	ERR5953284	
	amplicon	Unknown	ERR5953285	
	amplicon	Unknown	ERR5953286	
	amplicon	Unknown	ERR5953287	
	amplicon	Unknown	ERR5953288	
	amplicon	Unknown	ERR5953289	
	amplicon	Unknown	ERR5953290	
	amplicon	Unknown	ERR5953291	
	amplicon	Unknown	ERR5953292	
	amplicon	Unknown	ERR5953293	
	amplicon	Unknown	ERR5953294	
	amplicon	Unknown	ERR5953295	
	amplicon	Unknown	ERR5953301	
	amplicon	Unknown	ERR5953306	
	amplicon	Unknown	ERR4371490	
	amplicon	Unknown	ERR4371491	
	amplicon	Unknown	ERR4371492	
	amplicon	Unknown	ERR4371493	
	amplicon	Unknown	ERR4371494	
	amplicon	Unknown	ERR4371495	
	amplicon	Unknown	ERR4371496	
	amplicon	Unknown	ERR4371497	
	amplicon	Unknown	ERR4371498	
	amplicon	Unknown	ERR4371499	
	amplicon	Unknown	ERR4371500	
	amplicon	Unknown	ERR4371501	
	amplicon	Unknown	ERR4371502	
	amplicon	Unknown	ERR4371503	
	amplicon	Unknown	ERR4371504	
	amplicon	Unknown	ERR4371505	
	amplicon	Unknown	ERR4371506	
	amplicon	Unknown	ERR4371507	
	amplicon	Unknown	ERR4371508	
	amplicon	Unknown	ERR4371509	
	amplicon	Unknown	ERR4371510	
	amplicon	Unknown	ERR4371511	
	amplicon	Unknown	ERR4371512	
	amplicon	Unknown	ERR4371513	
	amplicon	Unknown	ERR4371514	
	amplicon	Unknown	ERR4371515	
	amplicon	Unknown	ERR4371516	
	amplicon	Unknown	ERR4371517	
	amplicon	Unknown	ERR4371518	
	amplicon	Unknown	ERR4371519	
	amplicon	Unknown	ERR4371520	
	amplicon	Unknown	ERR4371521	
	amplicon	Unknown	ERR4371522	
	amplicon	Unknown	ERR4371523	
	amplicon	Unknown	ERR4371524	
	amplicon	Unknown	ERR4371525	
	amplicon	Unknown	ERR4371526	
	amplicon	Unknown	ERR4371527	
	amplicon	Unknown	ERR4371528	
	amplicon	Unknown	ERR4371529	
	amplicon	Unknown	ERR4371530	
	amplicon	Unknown	ERR4371531	
	amplicon	Unknown	ERR4371532	
	amplicon	Unknown	ERR4371533	
	amplicon	Unknown	ERR4371534	
	amplicon	Unknown	ERR4371537	
	amplicon	Unknown	ERR5523667	
	amplicon	Unknown	ERR5523668	
	amplicon	Unknown	ERR5523669	
	amplicon	Unknown	ERR5523670	
	amplicon	Unknown	ERR5523671	
	amplicon	Unknown	ERR5523672	
	amplicon	Unknown	ERR5523673	
	amplicon	Unknown	ERR5523674	
	amplicon	Unknown	ERR5523675	
	amplicon	Unknown	ERR5523676	
	amplicon	Unknown	ERR5523677	
	amplicon	Unknown	ERR5523678	
	amplicon	Unknown	ERR5523679	
